year,team,team_name,first_name,last_name,role,is_active,start_date,end_date,title_notes,source_url,review_status
2022,ARI,Arizona Cardinals,Spencer,Whipple,Offensive Coordinator,true,,,Co-pass game coordinator; no single official OC listed. Cameron Turner was also co-pass game coordinator/QB coach.,https://en.wikipedia.org/wiki/2022_Arizona_Cardinals_season,Compiled
2022,ARI,Arizona Cardinals,Vance,Joseph,Defensive Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Arizona_Cardinals_season,Compiled
2022,ARI,Arizona Cardinals,Jeff,Rodgers,Special Teams Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Arizona_Cardinals_season,Compiled
2022,ATL,Atlanta Falcons,Dave,Ragone,Offensive Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Atlanta_Falcons_season,Compiled
2022,ATL,Atlanta Falcons,Dean,Pees,Defensive Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Atlanta_Falcons_season,Compiled
2022,ATL,Atlanta Falcons,Marquice,Williams,Special Teams Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Atlanta_Falcons_season,Compiled
2022,BAL,Baltimore Ravens,Greg,Roman,Offensive Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Baltimore_Ravens_season,Compiled
2022,BAL,Baltimore Ravens,Mike,Macdonald,Defensive Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Baltimore_Ravens_season,Compiled
2022,BAL,Baltimore Ravens,Chris,Horton,Special Teams Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Baltimore_Ravens_season,Compiled
2022,BUF,Buffalo Bills,Ken,Dorsey,Offensive Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Buffalo_Bills_season,Compiled
2022,BUF,Buffalo Bills,Leslie,Frazier,Defensive Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Buffalo_Bills_season,Compiled
2022,BUF,Buffalo Bills,Matthew,Smiley,Special Teams Coordinator,true,,,,https://en.wikipedia.org/wiki/2022_Buffalo_Bills_season,Compiled
